"id","restaurant_id","review_num","reservation","waiting_time","visit_reason","companion","visit_number","review","score"
1,1,1,예약 후 이용,바로 입장,데이트,연인・배우자,"1번째 방문",채식 메뉴가 있는 식당이라 좋았는데 가성비는 떨어지는 것 같습니다ㅠㅠ 양이 아쉬워요... 호박 요리 소스랑 시금치뇨끼 소스는 맛있었는데 양이 너무 적었어요.. ,4.5
2,1,2,예약 후 이용,바로 입장,데이트,친구,"1번째 방문",웰컴 브레드도 좋고 맛이 전체적으로 제 입맛에 맞았어요 유명세 안타셨음 이런 맛난거 못먹을것 같아요 힘들게 예약한 제친구가 짱입니다 ,8.5
3,1,3,예약 후 이용,바로 입장,일상,친구,"1번째 방문",건강한 맛 둘이서 싹싹 다 먹었어요 기분좋은 배부름 만족합니다 ,7.5
4,1,4,예약 후 이용,바로 입장,데이트,연인・배우자,"1번째 방문",비건식당을 좋아해서 들린 가게중에서 나름 원톱입니다~~!! 비트뇨끼가 요물입니다!!!!다들 꼭드세요!!!!!  논비건들을 위한 메뉴도 있으니 데이트로 걱정없이 오세요! ,7.5
5,1,5,nothing,nothing,nothing,nothing,"1번째 방문",옥수동 아파트 단지 주변에 위치한 채식 전문 레스토랑.. 비건 전문이라 해도 고기나 해물 들어간 요리도 있어서 비건이 친숙하지 않은 분들도 접근하기 괜찮을 것같아요. 온라인 예약시 제공되는 3종 잼과 빵.. 요리 기다리면서 소스 번걸아가면서 찍어먹는 재미가 쏠쏠했어요. 당근 잼이 의외로 과일 같은 느낌도 났고 풋풋한 열무 페스토는 파스타에도 비벼먹고 싶은 맛.. 비건이 아니라서 삼치 파스타 주문했는데 담백하면서 산뜻한 풍미와 고소한 오일이 잘 어우러졌어요. 시그니처로 보이는 호박 까넬로니.. 쫀득한 피 안에 갈은 호박이 녹진하게 채워졌는데 토마토 소스의 새콤한 킥도 좋았고 진한 치즈 맛도 섞인듯한 달달한 호박 소스도 맛있었어요! 예약경쟁이 치열한듯.. 레시피북도 있는데 몇가지 참고하고 싶어요. ,9.5
6,1,6,예약 후 이용,바로 입장,일상,친구,"1번째 방문",예약후 11시 오픈시간 첫타임 방문했는데 매장 들어서자마자 청소상태에 깜짝 놀랐습니다. 의자와 테이블에 빵부스러기들 떨어져있고 매장 바닥에도 부스러기들과 파스타도 한가닥 떨어져 있었어요ㅜ 시금치 뇨끼 리조또는 뇨끼는 쫀득한 식감이 아니었고 소스가 짰어요. 기대갖고 방문했는데 전체적으로 맛도 아쉬웠어요. ,4.5
7,1,7,예약 후 이용,바로 입장,친목,친구,"1번째 방문",우선 음식은 건강한맛이고 채소요리하는곳이라 호기심에 찾아갔고 남쉐프님은 안계시네요 11시에갔을때 첫손님이었고 예약제라서 12시쯤 꽉차더라구요 일찍갔고 바쁘신건지 친절한느낌이 아니고 한번쯤가볼만해요 그러나 개인적으로 2번방문하지는 않을듯해요 ,4.5
8,1,8,예약 후 이용,바로 입장,"나들이, 여행",친구,"1번째 방문",비트소스 달달하고 맛있어요!,7.5
9,1,9,예약 후 이용,바로 입장,일상,연인・배우자,"1번째 방문",비건 지향하는 가족이라 메뉴들 너무 반갑고 전반적으로 건강한 맛으로 채소테린 제일 맛있게 먹었습니다. 단 음식받기전 주문한 음료를 먼저 받고 싶었는데 서빙하는 직원분들 너무 정신없었어요. (오후 3-4시 사이라 빈 테이블이 꽤있음에도 불구하고..) ,7.5
10,1,10,예약 후 이용,바로 입장,가족모임,아이,"1번째 방문","(사진 이상하게 찍어서 죄송해요..) 채소 안먹는 6세 4세 아이들 데리고 갔는데요. 엄청 친절하시고 아이들 식기도 챙겨주셨어요. 애들이 안 먹던 가지도 한 조각씩 먹고, 시금치 뇨끼도 잘 먹더라구요. 리조또의 고기는 익은 부분만 애들 주고 나머지는 어른 입 속으로... ㅎㅎ 호박 까넬로니도 튀김처럼 주니까 잘 먹었어요! ",8.5
